# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 24 00:08:08 2023
#
# User ID:         gpadilam
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1400 b,Kepler-1400,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.06689421,0.00006982,-0.00006982,0,,,,,1.620,0.110,-0.110,0,0.145,0.010,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5044.00,43.82,-45.77,0,0.78,0.04,-0.03,0,0.83,0.03,-0.04,0,0.040,0.147,-0.143,0,[Fe/H],4.58,0.02,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m05.20s,286.2716827,+45d26m26.90s,45.4408055,752.2370000,17.6350000,-16.8580000,16.0670000,0.1600000,-0.1600000,13.7680000,0.0480000,-0.0480000,15.7129000,0.0005230,-0.0005230,2016-05-06,2016-05,2016-05-10
Kepler-1401 b,Kepler-1401,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.20066445,0.00008804,-0.00008804,0,,,,,1.680,0.370,-0.180,0,0.150,0.033,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5964.00,104.96,-124.67,0,1.10,0.23,-0.12,0,1.07,0.07,-0.06,0,0.040,0.144,-0.158,0,[Fe/H],4.39,0.08,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m51.85s,287.4660334,+40d45m30.31s,40.7584200,1425.4300000,,,15.2240000,0.1720000,-0.1720000,13.5390000,0.0380000,-0.0380000,14.9721000,0.0015300,-0.0015300,2016-05-06,2016-05,2016-05-10
Kepler-1402 b,Kepler-1402,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.03387914,0.00001415,-0.00001415,0,,,,,0.760,0.080,-0.070,0,0.068,0.007,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5416.00,64.99,-74.47,0,0.87,0.08,-0.05,0,0.90,0.04,-0.04,0,0.030,0.142,-0.153,0,[Fe/H],4.53,0.04,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m23.48s,291.8478341,+48d58m05.40s,48.9681664,1493.6400000,40.3400000,-38.3100000,14.7800000,0.0800000,-0.0800000,12.8620000,0.0290000,-0.0290000,14.6083000,0.0002680,-0.0002680,2016-05-06,2016-05,2016-05-10
Kepler-1403 b,Kepler-1403,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.19492202,0.00002801,-0.00002801,0,,,,,2.140,0.540,-0.260,0,0.191,0.048,-0.023,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6060.00,144.25,-145.90,0,1.15,0.29,-0.13,0,1.11,0.10,-0.07,0,0.030,0.137,-0.163,0,[Fe/H],4.36,0.09,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m28.23s,290.8676391,+38d57m36.28s,38.9600779,2163.9000000,158.6700000,-138.7800000,15.7130000,0.1150000,-0.1150000,14.2010000,0.0550000,-0.0550000,15.5907000,0.0005470,-0.0005470,2016-05-06,2016-05,2016-05-10
Kepler-1404 b,Kepler-1404,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,15.93147390,0.00011330,-0.00011330,0,,,,,2.010,0.140,-0.210,0,0.179,0.012,-0.019,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5261.00,99.17,-104.59,0,0.80,0.05,-0.05,0,0.84,0.05,-0.05,0,-0.090,0.161,-0.187,0,[Fe/H],4.56,0.04,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m02.28s,296.0094827,+50d29m54.21s,50.4983929,962.1830000,42.4670000,-39.0820000,15.9310000,0.1260000,-0.1260000,13.7560000,0.0540000,-0.0540000,15.7029000,0.0006370,-0.0006370,2016-05-06,2016-05,2016-05-10
Kepler-1405 b,Kepler-1405,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,28.22741840,0.00013920,-0.00013920,0,,,,,3.960,0.880,-0.450,0,0.353,0.079,-0.040,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5925.00,156.83,-211.16,0,1.07,0.23,-0.12,0,1.05,0.08,-0.08,0,0.030,0.139,-0.146,0,[Fe/H],4.40,0.08,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m44.37s,295.6848822,+39d15m22.06s,39.2561274,1530.3000000,87.7000000,-78.8300000,16.0280000,0.4350000,-0.4350000,14.2370000,0.0720000,-0.0720000,15.8175000,0.0006640,-0.0006640,2016-05-06,2016-05,2016-05-10
Kepler-1406 b,Kepler-1406,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.62905828,0.00006904,-0.00006904,0,,,,,1.100,0.180,-0.130,0,0.098,0.016,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5892.00,61.02,-55.69,0,1.12,0.18,-0.11,0,1.05,0.04,-0.04,0,0.040,0.095,-0.083,0,[Fe/H],4.36,0.09,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m19.65s,292.0818824,+38d54m53.81s,38.9149472,572.4030000,,,13.3900000,0.1140000,-0.1140000,11.8800000,0.0210000,-0.0210000,13.3819000,0.0034140,-0.0034140,2016-05-06,2016-05,2016-05-10
Kepler-1407 b,Kepler-1407,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,20.07115040,0.00054530,-0.00054530,0,,,,,2.250,0.530,-0.320,0,0.201,0.047,-0.029,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6010.00,158.66,-154.68,0,1.15,0.27,-0.14,0,1.10,0.10,-0.08,0,0.050,0.142,-0.142,0,[Fe/H],4.36,0.09,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h55m46.18s,283.9424274,+41d28m17.59s,41.4715535,1396.4100000,50.8700000,-47.4700000,15.0230000,0.1030000,-0.1030000,13.4890000,0.0380000,-0.0380000,14.8925000,0.0003680,-0.0003680,2016-05-06,2016-05,2016-05-10
Kepler-1408 b,Kepler-1408,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.99793191,0.00002517,-0.00002517,0,,,,,0.890,68.910,-0.150,0,0.079,6.148,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6170.00,99.15,-2360.24,0,1.35,104.53,-0.23,0,1.21,1.00,-0.10,0,0.000,0.147,-0.219,0,[Fe/H],4.25,0.14,-3.51,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h50m47.97s,282.6998783,+45d25m32.84s,45.4257884,535.0480000,6.4120000,-6.2650000,12.1240000,0.0570000,-0.0570000,10.6940000,0.0110000,-0.0110000,11.9622000,0.0001800,-0.0001800,2016-05-06,2016-05,2016-05-10
Kepler-1409 b,Kepler-1409,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.76486493,0.00000240,-0.00000240,0,,,,,1.040,0.080,-0.070,0,0.093,0.007,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5160.00,76.61,-73.84,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0,-0.030,0.147,-0.155,0,[Fe/H],4.57,0.03,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m20.34s,290.0847389,+51d12m31.01s,51.2086144,694.8900000,9.8035000,-9.8035000,15.3910000,0.0460000,-0.0460000,13.2480000,0.0340000,-0.0340000,15.1720000,0.0005450,-0.0005450,2016-05-06,2016-05,2016-05-10
Kepler-141 b,Kepler-141,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.10767500,0.00002200,-0.00002200,0,0.039000,,,0,0.690,0.050,-0.050,0,0.062,0.004,-0.004,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4910.00,100.00,-100.00,0,0.79,0.04,-0.04,0,,,,,,,,,,4.57,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m52.97s,297.9707271,+47d43m53.77s,47.7316041,301.1830000,1.3090000,-1.2980000,13.6240000,0.0920000,-0.0920000,11.3930000,0.0170000,-0.0170000,13.4205000,0.0002380,-0.0002380,2014-05-14,2014-03,2014-05-14
Kepler-141 c,Kepler-141,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.01060600,0.00002000,-0.00002000,0,0.067000,,,0,1.410,0.090,-0.090,0,0.126,0.008,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4910.00,100.00,-100.00,0,0.79,0.04,-0.04,0,,,,,,,,,,4.57,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m52.97s,297.9707271,+47d43m53.77s,47.7316041,301.1830000,1.3090000,-1.2980000,13.6240000,0.0920000,-0.0920000,11.3930000,0.0170000,-0.0170000,13.4205000,0.0002380,-0.0002380,2014-05-14,2014-03,2014-05-14
Kepler-1410 b,Kepler-1410,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,60.86616800,0.00051610,-0.00051610,0,,,,,1.780,0.120,-0.140,0,0.159,0.011,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4092.00,100.24,-77.85,0,0.60,0.03,-0.04,0,0.63,0.04,-0.04,0,0.010,0.152,-0.152,0,[Fe/H],4.67,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m02.47s,290.5102933,+38d44m36.60s,38.7435010,,,,16.3190000,0.1150000,-0.1150000,12.7670000,0.0370000,-0.0370000,15.9484000,0.0109150,-0.0109150,2016-05-06,2016-05,2016-05-10
Kepler-1411 b,Kepler-1411,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,86.11508880,0.00097280,-0.00097280,0,,,,,2.820,0.430,-0.240,0,0.252,0.038,-0.021,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5664.00,67.78,-68.48,0,0.92,0.13,-0.07,0,0.95,0.05,-0.06,0,-0.040,0.144,-0.199,0,[Fe/H],4.49,0.05,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m26.77s,286.3615236,+42d57m50.00s,42.9638889,1660.4800000,94.3000000,-84.8500000,15.9450000,0.1380000,-0.1380000,14.2370000,0.0720000,-0.0720000,15.7709000,0.0005120,-0.0005120,2016-05-06,2016-05,2016-05-10
Kepler-1412 b,Kepler-1412,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.61460510,0.00002139,-0.00002139,0,,,,,0.830,0.150,-0.130,0,0.074,0.013,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5880.00,80.65,-68.91,0,1.27,0.23,-0.18,0,1.06,0.05,-0.04,0,0.040,0.086,-0.089,0,[Fe/H],4.25,0.13,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m43.24s,292.1801539,+49d12m08.93s,49.2024810,755.6780000,8.8610000,-8.6620000,13.3470000,0.1030000,-0.1030000,11.7740000,0.0200000,-0.0200000,13.1928000,0.0002740,-0.0002740,2016-05-06,2016-05,2016-05-10
Kepler-1413 b,Kepler-1413,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.18296420,0.00010820,-0.00010820,0,,,,,1.820,0.160,-0.150,0,0.162,0.014,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5196.00,117.54,-117.21,0,0.80,0.05,-0.05,0,0.84,0.04,-0.05,0,-0.050,0.167,-0.170,0,[Fe/H],4.57,0.03,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m21.99s,294.3416065,+46d29m55.54s,46.4987624,1167.4900000,69.4300000,-62.1800000,16.4730000,0.4010000,-0.4010000,14.2240000,0.0790000,-0.0790000,16.2846000,0.0007540,-0.0007540,2016-05-06,2016-05,2016-05-10
Kepler-1414 b,Kepler-1414,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.51576315,0.00001186,-0.00001186,0,,,,,1.230,0.090,-0.080,0,0.110,0.008,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4951.00,74.11,-76.49,0,0.75,0.03,-0.04,0,0.80,0.04,-0.04,0,-0.020,0.154,-0.166,0,[Fe/H],4.59,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m42.86s,284.9285796,+42d25m20.31s,42.4223085,570.8350000,7.3510000,-7.1700000,14.9890000,0.1370000,-0.1370000,12.7340000,0.0270000,-0.0270000,14.8607000,0.0003830,-0.0003830,2016-05-06,2016-05,2016-05-10
Kepler-1415 b,Kepler-1415,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.63642408,0.00000160,-0.00000160,0,,,,,1.290,0.120,-0.080,0,0.115,0.011,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5267.00,55.51,-59.06,0,0.84,0.06,-0.04,0,0.89,0.04,-0.04,0,0.120,0.145,-0.148,0,[Fe/H],4.54,0.03,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m37.63s,285.1568015,+47d52m23.70s,47.8732512,1043.5600000,40.6000000,-37.7100000,15.9370000,0.1490000,-0.1490000,13.9510000,0.0650000,-0.0650000,15.7209000,0.0005210,-0.0005210,2016-05-06,2016-05,2016-05-10
